property_type,property_id,postcode,city,province,address,latitude,longitude,price,property_state,build_year,bedroom_count,livable_surface,total_surface,garage,terrace,energy_consumption_kWh/m2/year,swimming_pool,preschool_distance_m,train_station_distance_m,supermarket_distance_m,nearest_city,nearest_city_distance_km,price_per_m2
house,RBW24708,2200,Herentals,antwerp,Nederrij 87,51.18343,4.835436,195000,To renovate,1919,3,156,150,0,1,623,0,1000,633,541,Antwerp,30.43,1250.0
apartment,RBW24097,2300,Turnhout,antwerp,Dessauerplein 1,51.32402,4.953304,192000,New,2024,1,61,,1,1,,0,313,1300,285,Antwerp,40.04,3147.5409836066
house,RBW24807,2850,Boom,antwerp,Nielsestraat 192,51.09386,4.353985,159000,,,1,64,46,1,0,250,0,1600,959,1000,Antwerp,14.36,2484.375
apartment,RBW24060,2500,Lier,antwerp,Kapmes 8 2,51.14223,4.551096,198250,New,2022,1,65,,1,1,,0,1200,1200,520,Antwerp,13.45,3050.0
house,RBW25150,2580,Beerzel,antwerp,Hoogstraat 133,51.0590842,4.6621329,179000,To renovate,,2,82,110,0,1,925,0,440,4100,1400,Leuven,20.12,2182.9268292683
apartment,RBW23832,2200,Herentals,antwerp,Herenthoutseweg 85 1C,51.1717,4.832553,193000,Normal,1960,2,95,,1,0,236,0,743,1300,234,Antwerp,30.43,2031.5789473684
apartment,RBW25165,2830,Willebroek,antwerp,Dendermondsesteenweg 129 A,51.0595542,4.3525606,195000,,,,100,,0,0,,0,361,857,93,Antwerp,18.11,1950.0
apartment,RBW23700,2140,Borgerhout,antwerp,Eugeen Joorsstraat 11,51.21156,4.436833,199000,Excellent,,1,65,,0,0,354,0,171,857,361,Antwerp,2.55,3061.5384615385
apartment,RBW19716,2100,Deurne,antwerp,Ter Heydelaan 344 7,51.2297369,4.4737173,199000,,,2,80,,1,1,257,0,392,4000,647,Antwerp,5.09,2487.5
apartment,RBW23897,2020,Antwerp,antwerp,Maurits Sabbelaan 7 201,51.1889075,4.3722556,195000,,1971,3,88,,0,1,579,0,124,1900,429,Antwerp,3.99,2215.9090909091
apartment,RBW18181,2100,Deurne,antwerp,Ergo-de Waellaan 4 201,51.21149,4.455832,195000,To renovate,1960,2,82,,1,1,236,0,344,1500,271,Antwerp,3.82,2378.0487804878
apartment,RBW20351,2018,Antwerp,antwerp,Bexstraat 19 9,51.20931,4.412877,159000,To renovate,1974,1,41,,0,1,217,0,170,1500,387,Antwerp,1.33,3878.0487804878
apartment,RBV93091,2140,Borgerhout,antwerp,Turnhoutsebaan 455 10 C,51.21966,4.45304,175000,To renovate,1973,2,88,,1,1,134,0,321,2000,492,Antwerp,3.52,1988.6363636364
apartment,RBW23836,2200,Herentals,antwerp,Herenthoutseweg 85 1D,51.1717,4.832553,199000,Normal,1960,2,99,,1,0,250,0,743,1300,234,Antwerp,30.43,2010.101010101
apartment,RBW19269,2660,Hoboken,antwerp,Sint-Bernardsesteenweg 629 301,51.1755993,4.3672657,175000,,,2,79,,0,1,377,0,198,2100,98,Antwerp,5.45,2215.1898734177
apartment,RBW23620,2660,Hoboken,antwerp,Meerlenhoflaan 13 2,51.1725,4.355282,198000,New,2021,1,50,,0,1,50,0,150,1400,288,Antwerp,6.17,3960.0
apartment,RBW24611,2600,Berchem,antwerp,De Roest d'Alkemadelaan 5 82,51.1838752,4.4319229,159000,Excellent,1969,1,45,,0,0,205,0,850,1600,281,Antwerp,4.45,3533.3333333333
house,RBV92999,2030,Antwerp,antwerp,Kempisch Dok Oostkaai 33,51.23365,4.416649,175000,Normal,,2,200,,0,0,,0,602,1000,687,Antwerp,1.87,875.0
apartment,RBW18366,2140,Antwerp,antwerp,Berchemlei 75 201,51.2053885,4.4490757,181900,,,2,,,0,1,609,0,57,1200,205,Antwerp,3.6,
apartment,RBV89589,2550,Kontich,antwerp,Koningin Astridlaan 37,51.1288653,4.4539746,165000,Excellent,2012,1,60,,1,1,211,1,1100,2100,677,Antwerp,10.69,2750.0
apartment,RBW18125,2018,Antwerp,antwerp,Appelmansstraat 23 1,51.21654,4.417725,189000,Normal,1986,1,53,,0,1,379,0,368,342,248,Antwerp,1.11,3566.0377358491
apartment,RBW18128,2060,Antwerp,antwerp,Pothoekstraat 35 4,51.22109,4.436394,145000,Normal,1983,1,52,,0,0,371,0,53,1500,778,Antwerp,2.37,2788.4615384615
apartment,RBV92989,2060,Antwerp,antwerp,Greinstraat 53 402,51.22138,4.425168,105000,To renovate,1930,1,27,,0,1,441,0,81,808,454,Antwerp,1.59,3888.8888888889
apartment,RBW19065,2000,Antwerp,antwerp,Leopoldstraat 63 13,51.2133,4.407669,199500,Normal,,1,32,,0,1,196,0,329,1300,201,Antwerp,0.77,6234.375
house,RBV96432,2450,Meerhout,antwerp,Kapellestraat 110,51.12746,5.0843302,175000,To renovate,1954,3,123,270,0,1,1081,0,434,8900,861,Leuven,38.47,1422.7642276423
apartment,RBW23686,2018,Antwerp,antwerp,Helenalei 24A 045,51.20077,4.421228,129000,Normal,1966,1,40,,0,1,131,0,465,958,277,Antwerp,2.45,3225.0
house,RBW18553,2300,Turnhout,antwerp,steenweg op oosthoven 54,51.32978,4.95229,149000,To renovate,1899,3,134,95,0,1,607,0,593,1700,597,Antwerp,40.17,1111.9402985075
apartment,RBW16107,2000,Antwerp,antwerp,Frankrijklei 41/43,51.2166583,4.4149712,187000,Normal,2013,1,32,,0,0,79,0,346,522,88,Antwerp,0.92,5843.75
house,RBV82387,2200,Herentals,antwerp,Fraikinstraat 30,51.18074,4.835107,199000,To renovate,1986,2,216,76,0,1,687,0,607,544,257,Antwerp,30.45,921.2962962963
apartment,RBW24086,2300,Turnhout,antwerp,Dessauerplein 1,51.32402,4.953304,197000,New,2024,1,58,,1,1,,0,313,1300,285,Antwerp,40.04,3396.5517241379
apartment,RBW17367,2850,Boom,antwerp,Voetballersstraat 28,51.0915149,4.3731727,199000,Normal,2005,2,70,,0,1,133,0,713,1200,474,Antwerp,14.37,2842.8571428571
apartment,RBW16998,2018,Antwerp,antwerp,Belgiëlei 94,51.20633,4.418448,135000,Normal,1967,,36,,0,0,505,0,455,1400,62,Antwerp,1.83,3750.0
apartment,RBW16983,2020,Antwerp,antwerp,Boomsesteenweg 329 301,51.18673,4.388391,179000,Normal,,1,42,,0,0,108,0,582,1500,566,Antwerp,3.76,4261.9047619048
apartment,RBW16972,2140,Borgerhout,antwerp,Turnhoutsebaan 209 2,51.2146,4.43688,129000,To renovate,,1,51,,0,0,269,0,249,1200,123,Antwerp,2.45,2529.4117647059
apartment,RBW19254,2845,Niel,antwerp,Vredestraat 44,51.1125773,4.3302691,199000,To renovate,,1,63,,1,0,155,0,565,737,1300,Antwerp,12.9,3158.7301587302
apartment,RBW17369,2850,Boom,antwerp,Voetballersstraat 28,51.0915149,4.3731727,179000,Normal,2005,1,41,,1,1,154,0,713,1200,474,Antwerp,14.37,4365.8536585366
apartment,RBW16978,2100,Deurne,antwerp,Kerkeveldlaan 41,51.23094,4.466009,149000,Normal,1970,1,49,,0,0,250,0,418,3300,456,Antwerp,4.6,3040.8163265306
apartment,RBW10741,2100,Deurne,antwerp,Bisschoppenhoflaan 314 20,51.23282385,4.46079596,179000,To renovate,1973,2,85,,0,1,278,0,340,2800,992,Antwerp,4.33,2105.8823529412
apartment,RBW16963,2000,Antwerp,antwerp,Kipdorp 61,51.22078,4.409723,147500,Normal,,,25,,0,0,178,0,240,1000,426,Antwerp,0.53,5900.0
apartment,RBW16979,2170,Merksem,antwerp,Lambrechtshoekenlaan 211 0604,51.25132,4.433568,189000,Normal,,1,80,,0,1,132,0,474,1400,233,Antwerp,4.16,2362.5
apartment,RBW24081,2300,Turnhout,antwerp,Dessauerplein 1,51.32402,4.953304,192000,New,2024,1,58,,1,1,,0,313,1300,285,Antwerp,40.04,3310.3448275862
apartment,RBW17368,2850,Boom,antwerp,Voetballersstraat 28,51.0915149,4.3731727,189000,Normal,2005,2,70,,1,1,95,0,713,1200,474,Antwerp,14.37,2700.0
apartment,RBW16971,2170,Merksem,antwerp,nieuwdreef 123,51.24867,4.439379,199000,Normal,,2,107,,0,1,233,0,623,1600,641,Antwerp,4.15,1859.8130841121
apartment,RBW16941,2300,Turnhout,antwerp,De Merodelei 247 4,51.3202888,4.9289737,198000,Normal,1968,3,111,,0,1,372,0,255,641,1000,Antwerp,38.31,1783.7837837838
house,RBT61681,2400,Mol,antwerp,Kiezelweg,51.214687,5.189162,129500,,2018,2,65,250,0,,,0,1500,5800,1700,Leuven,50.53,1992.3076923077
apartment,RBW16969,2100,Deurne,antwerp,Frans Baetensstraat 6,51.20897,4.458025,129000,To renovate,,1,43,,0,0,375,0,261,1700,180,Antwerp,4.04,3000.0
apartment,RBW18122,2060,Antwerp,antwerp,Diepestraat 65 201,51.22367,4.424618,150000,To renovate,1899,1,57,,0,0,121,0,253,1000,358,Antwerp,1.61,2631.5789473684
apartment,RBV93109,2060,Antwerp,antwerp,Carnotstraat 152 301,51.21718,4.428904,134500,Normal,,1,47,,0,0,197,0,300,822,78,Antwerp,1.86,2861.7021276596
apartment,RBW19641,2100,Deurne,antwerp,Baron Leroystraat 34 101,51.22572,4.467651,198000,Normal,1960,2,79,,0,1,141,0,30,3600,637,Antwerp,4.59,2506.3291139241
apartment,RBW10883,2060,Antwerp,antwerp,Cassiersstraat 41,51.2273089,4.4175657,195000,,,1,67,,0,0,,0,347,924,224,Antwerp,1.37,2910.447761194
apartment,RBW12167,2060,Antwerp,antwerp,Lange Kongostraat 43,51.2231606,4.439898,169000,,1973,2,90,,0,1,225,0,92,1700,803,Antwerp,2.64,1877.7777777778
apartment,RBW16949,2060,Antwerp,antwerp,Somméstraat 21-23,51.2224868,4.4370753,184500,Normal,,,43,,0,1,82,0,153,1600,676,Antwerp,2.43,4290.6976744186
apartment,RBW16945,2100,Deurne,antwerp,bosuil 27 52,51.22834,4.463064,199900,Normal,1975,3,104,,0,1,181,0,501,3300,614,Antwerp,4.33,1922.1153846154
house,RBW12518,2820,Rijmenam,antwerp,Eertberglei 42,51.0215,4.608975,125000,To renovate,1969,1,55,1058,0,0,1038,0,990,5700,3200,Leuven,17.01,2272.7272727273
apartment,RBW10887,2060,Antwerp,antwerp,Pothoekstraat 178 31,51.2262782,4.4369247,195000,,,1,51,,0,1,156,0,132,1200,238,Antwerp,2.52,3823.5294117647
house,RBW10823,2400,Mol,antwerp,Ginderbroek 15,51.18155,5.107947,150000,To renovate,1930,3,165,179,0,0,667,0,672,1600,759,Leuven,44.02,909.0909090909
apartment,RBW10768,2430,Laakdal,antwerp,Oude Tramlijn 2B 13,51.10488,5.00503,110000,Normal,2012,1,52,,0,1,144,0,919,9000,657,Leuven,32.87,2115.3846153846
apartment,RBW10884,2060,Antwerp,antwerp,Greinstraat 53,51.2213906,4.425165,166500,,1966,2,54,,0,0,,0,81,807,454,Antwerp,1.59,3083.3333333333
apartment,RBW09871,2600,Berchem,antwerp,Coveliersstraat 6 2.10,51.19894,4.416825,169000,Normal,2019,1,37,,0,1,70,0,258,1300,45,Antwerp,2.48,4567.5675675676
house,RBW11023,2900,Schoten,antwerp,Brechtsebaan 249/2,51.272373,4.5196054,195000,,1936,2,65,269,0,1,1685,0,2000,7800,1500,Antwerp,10.06,3000.0
house,RBV09576,2400,Mol,antwerp,Kiezelweg 17 - 549,51.211041,5.1716104,159500,,2024,2,,,0,1,,0,3200,5200,3100,Leuven,49.41,
house,RBW10824,2400,Mol,antwerp,Ginderbroek 17,51.18151,5.107892,150000,To renovate,1930,2,110,115,0,1,615,0,676,1600,754,Leuven,44.01,1363.6363636364
apartment,RBW16280,2100,Deurne,antwerp,Jan van Parijsstraat 18,51.23279,4.460412,185000,Normal,,2,79,,0,0,526,0,367,2800,1000,Antwerp,4.3,2341.7721518987
apartment,RBV95298,2800,Mechelen,antwerp,Zwartzustersvest 29 001,51.0311902,4.4863083,199500,,1973,1,52,,1,0,271,0,454,418,338,Antwerp,21.73,3836.5384615385
apartment,RBV94037,2200,Herentals,antwerp,Nonnenstraat 27 A,51.1759,4.838949,169000,To renovate,1959,2,67,,1,0,1083,0,77,1100,255,Antwerp,30.79,2522.3880597015
apartment,RBW16956,2100,Deurne,antwerp,Lakborslei 491 102,51.23214,4.45658,169000,Normal,1934,2,74,,0,0,156,0,421,2500,925,Antwerp,4.02,2283.7837837838
house,RBW03374,2275,Wechelderzande,antwerp,Dokter Karel Van Noppenstraat 21,51.2625832,4.8075554,95000,To renovate,1975,3,80,1712,0,0,1332,0,2100,9600,1600,Antwerp,28.6,1187.5
apartment,RBW10737,2100,Deurne,antwerp,Maria de Heeltstraat 3 GLV,51.23214,4.463617,185000,To renovate,1960,1,72,,0,1,302,0,113,3100,711,Antwerp,4.49,2569.4444444444
house,RBW01515,2200,Herentals,antwerp,Koulaak 33,51.18767,4.844941,199000,To renovate,1950,3,174,381,1,1,541,0,350,1700,596,Antwerp,31.03,1143.6781609195
apartment,RBV96460,2100,Deurne,antwerp,Wouter Haecklaan 2 4b,51.21344,4.458588,179000,To renovate,1963,2,108,,1,1,172,0,141,1900,497,Antwerp,3.96,1657.4074074074
apartment,RBW08919,2280,Grobbendonk,antwerp,Herentalse steenweg 57 2.07,51.17655,4.76566,149000,Normal,2013,1,45,,1,0,136,0,1900,5600,1900,Antwerp,25.75,3311.1111111111
house,RBW03905,2560,Nijlen,antwerp,Molenstraat 71,51.1619177,4.658439,129000,To renovate,,1,56,169,1,0,684,0,921,703,794,Antwerp,18.95,2303.5714285714
house,RBV94698,2500,Lier,antwerp,Berlaarsesteenweg 27,51.12877,4.5844,180000,Normal,2003,1,61,85,0,1,388,0,280,2100,532,Antwerp,16.2,2950.8196721311
apartment,RBW01631,2060,Antwerp,antwerp,Ellermanstraat 61 212,51.23025,4.417023,139000,Normal,,1,30,,1,1,128,0,403,801,291,Antwerp,1.57,4633.3333333333
apartment,RBW09772,2650,Edegem,antwerp,Ernest Jouretlaan 2 02VA,51.14914,4.452381,199000,Normal,,1,66,,0,1,263,0,649,1400,342,Antwerp,8.55,3015.1515151515
apartment,RBW02316,2140,Antwerp,antwerp,Berchemlei 85 202,51.2054658,4.4487052,169700,To renovate,,1,63,,0,1,359,0,30,1200,233,Antwerp,3.57,2693.6507936508
apartment,RBW01566,2600,Berchem,antwerp,Coremansstraat 1 2F,51.1900747,4.4223789,165000,To renovate,1977,1,57,,0,1,148,0,532,1600,705,Antwerp,3.54,2894.7368421053
house,RBV94175,2310,Rijkevorsel,antwerp,Molenstraat 23,51.351504,4.7580195,199000,,,3,107,203,1,1,532,0,272,10200,432,Antwerp,28.76,1859.8130841121
apartment,RBV96459,2100,Deurne,antwerp,Wouter Haecklaan 2 4a,51.21344,4.458588,199000,To renovate,1963,3,119,,1,1,189,0,141,1900,497,Antwerp,3.96,1672.268907563
apartment,RBV95708,2600,Berchem,antwerp,Potvlietlaan 10 19,51.2044135,4.442688,199000,,1970,2,68,,0,1,171,0,790,1100,455,Antwerp,3.26,2926.4705882353
apartment,RBW01809,2200,Herentals,antwerp,Glasstraat 27,51.176,4.821607,175000,To renovate,1972,3,98,,1,0,241,0,1400,1000,1200,Antwerp,29.6,1785.7142857143
apartment,RBW08894,2660,Hoboken,antwerp,Sint-Bernardsesteenweg 736 201,51.18015,4.370063,149000,To renovate,1919,1,62,,0,0,461,0,556,2100,462,Antwerp,4.91,2403.2258064516
house,RBV97368,2580,Putte,antwerp,Hoogstraat 1,51.05793807,4.66743152,169000,To renovate,1945,2,115,70,0,0,587,0,345,3700,1800,Leuven,19.94,1469.5652173913
apartment,RBV93111,2060,Antwerp,antwerp,Van Stralenstraat 19 14,51.22202,4.419127,149000,Normal,1954,,44,,0,1,140,0,101,690,385,Antwerp,1.19,3386.3636363636
house,RBV94109,2200,Herentals,antwerp,Markgravenstraat 45,51.17837,4.825817,189000,To renovate,1918,3,122,260,0,0,1177,0,1000,531,650,Antwerp,29.85,1549.1803278689
apartment,RBV93073,2000,Antwerp,antwerp,Italiëlei 227-233 S6,51.2207503,4.41715577,149000,Normal,1968,1,26,,0,1,197,0,324,663,305,Antwerp,1.03,5730.7692307692
apartment,RBV90331,2360,Oud-Turnhout,antwerp,Steenweg op Turnhout 39 2,51.31924,4.977851,190000,,1986,2,113,,1,1,206,0,518,3000,108,Antwerp,41.54,1681.4159292035
apartment,RBV93177,2280,Grobbendonk,antwerp,Herentalse steenweg 59 2.1 001,51.17709,4.766642,168000,Excellent,2015,1,51,,1,0,104,0,2000,5600,2000,Antwerp,25.81,3294.1176470588
apartment,RBV89499,2140,Borgerhout,antwerp,Appelstraat 4A 001,51.21349,4.440726,139000,Normal,1934,2,65,,0,0,283,0,321,993,364,Antwerp,2.74,2138.4615384615
apartment,RBV90329,2360,Oud-Turnhout,antwerp,Steenweg op Turnhout 39 8,51.31924,4.977851,125000,To renovate,1986,2,61,,1,0,202,0,518,3000,108,Antwerp,41.54,2049.1803278689
apartment,RBV93176,2280,Grobbendonk,antwerp,Herentalsesteenweg 59 008,51.17709,4.766642,199000,New,2013,1,54,,1,0,149,0,2000,5600,2000,Antwerp,25.81,3685.1851851852
apartment,RBV93312,2300,Turnhout,antwerp,de Merodelei 95 14,51.32144,4.937825,189000,Normal,1986,3,122,,0,1,380,0,395,95,21,Antwerp,38.93,1549.1803278689
apartment,RBV90202,2100,Deurne,antwerp,Wouter Haecklaan 6 601,51.21206,4.45987,194500,Normal,1967,2,80,,1,1,258,0,125,2000,322,Antwerp,4.08,2431.25
apartment,RBV93131,2018,Antwerp,antwerp,Helenalei 24A 011,51.20077,4.421228,129000,To renovate,1966,1,36,,0,1,270,0,465,958,277,Antwerp,2.45,3583.3333333333
apartment,RBV90330,2360,Oud-Turnhout,antwerp,Steenweg op Turnhout 39 3,51.31924,4.977851,190000,,1986,2,113,,1,1,145,0,518,3000,108,Antwerp,41.54,1681.4159292035
apartment,RWC42533,2850,Boom,antwerp,Antwerpsestraat 91 B2,51.089325,4.3648687,183000,Normal,,2,81,,0,1,222,0,511,834,213,Antwerp,14.7,2259.2592592593
apartment,RWC42295,2070,Burcht,antwerp,pastoor coplaan 210,51.2040042,4.3413445,161000,Normal,,2,60,,0,1,185,0,222,1400,145,Antwerp,4.59,2683.3333333333
apartment,RBV93081,2140,Borgerhout,antwerp,Sergeyselsstraat 45 5,51.21196,4.433405,149000,Normal,1920,1,57,,0,0,999,0,186,1000,121,Antwerp,2.31,2614.0350877193
apartment,RBV93126,2060,Antwerp,antwerp,Van Maerlantstraat 68 3,51.22196,4.417944,179000,Normal,,1,40,,0,0,444,0,113,768,405,Antwerp,1.11,4475.0
apartment,RBV93074,2000,Antwerp,antwerp,Italiëlei 227-233 S14,51.2207503,4.41715577,175000,Normal,1971,1,35,,0,1,165,0,324,663,305,Antwerp,1.03,5000.0
apartment,RBV94025,2200,Herentals,antwerp,De Zaatweg 6 11,51.18217,4.829412,139000,To renovate,2003,1,41,,0,0,394,0,1000,175,313,Antwerp,30.03,3390.243902439
apartment,RBV92986,2060,Antwerp,antwerp,Lange Beeldekensstraat 193 V3,51.22146,4.43004,180000,Normal,,2,75,,0,1,578,0,249,1000,560,Antwerp,1.93,2400.0
apartment,RBV89284,2440,Geel,antwerp,Valkenborch 16 c,51.1649634,4.9754839,195000,,2006,1,56,,1,1,165,0,896,1300,1400,Leuven,37.09,3482.1428571429
apartment,RBV81069,2170,Merksem,antwerp,Minister Delbekelaan 3,51.2399966,4.4384838,185000,Normal,1945,2,90,,0,1,252,0,423,1300,486,Antwerp,3.39,2055.5555555556
house,RBV93236,2500,Lier,antwerp,Lindenstraat 68,51.12929,4.58071,175000,To renovate,1918,3,104,43,0,0,457,0,586,1800,592,Antwerp,15.96,1682.6923076923
apartment,RBV87274,2050,Antwerp,antwerp,August Vermeylenlaan 5,51.2319696,4.3792114,189000,,1973,2,82,,0,1,181,0,582,2800,644,Antwerp,2.14,2304.8780487805
apartment,RBV87213,2300,Turnhout,antwerp,Duifhuisstraat 24 7,51.31552,4.947775,160000,,1971,2,94,,1,0,96,0,231,1500,560,Antwerp,39.41,1702.1276595745
apartment,RBV88849,2100,Deurne,antwerp,Leeuwlantstraat 105 1,51.22351,4.465847,199000,Normal,1935,1,70,,0,1,253,0,394,3100,707,Antwerp,4.44,2842.8571428571
house,RBV88028,2490,Balen,antwerp,Heerbaan ZN,51.1789016,5.2292227,129000,Normal,2012,2,50,2202,0,1,1715,0,1300,4900,1100,Leuven,49.73,2580.0
apartment,RWC42490,2060,Antwerp,antwerp,Ellermanstraat 61 217,51.230252,4.4170226,145000,Excellent,2014,1,32,,0,1,165,0,403,801,291,Antwerp,1.57,4531.25
apartment,RBV86199,2140,Borgerhout,antwerp,Blijde-Inkomststraat 1 14,51.2138212,4.4385716,160000,To renovate,1959,1,59,,0,0,214,0,90,1100,180,Antwerp,2.59,2711.8644067797
apartment,RBV83176,2440,Geel,antwerp,Rijn 54 K,51.1631221,5.0043074,169000,Normal,2007,1,69,,0,1,262,0,185,1500,1100,Leuven,38.0,2449.2753623188
apartment,RBV82234,2060,Antwerp,antwerp,Rotterdamstraat 80,51.222092,4.4203617,150000,Normal,,1,43,,0,0,186,0,199,624,281,Antwerp,1.28,3488.3720930233
apartment,RBV88174,2140,Antwerp,antwerp,Morckhovenlei 39,51.2116383,4.4546374,199000,Normal,1962,2,90,,1,1,352,0,359,1400,311,Antwerp,3.73,2211.1111111111
house,RWC42527,2280,Grobbendonk,antwerp,Quinten Matsyslaan 14,51.192427,4.735339,169000,To renovate,1900,3,87,375,0,0,,0,75,3400,351,Antwerp,23.38,1942.5287356322
apartment,RBV86032,2170,Merksem,antwerp,Leiebos 21 1,51.2561775,4.4595006,165000,Excellent,,1,63,,0,0,300,0,318,3100,724,Antwerp,5.7,2619.0476190476
apartment,RBV81072,2640,Mortsel,antwerp,Sint-Annalei 26,51.1746316,4.4381063,179000,Excellent,1930,1,59,,0,0,275,0,508,1400,808,Antwerp,5.56,3033.8983050847
house,RBV86895,2400,Mol,antwerp,Kiezelweg 17 245,51.20982,5.172112,120000,,2018,3,,350,0,1,,0,3000,5000,2800,Leuven,49.33,
apartment,RBV82235,2060,Antwerp,antwerp,Rotterdamstraat 80 2,51.222092,4.4203617,179000,Fully renovated,,1,56,,0,1,182,0,199,624,281,Antwerp,1.28,3196.4285714286
apartment,RBV82233,2060,Antwerp,antwerp,Rotterdamstraat 80,51.222092,4.4203617,154000,Normal,,1,49,,0,0,377,0,199,624,281,Antwerp,1.28,3142.8571428571
apartment,RBV85012,2180,Ekeren,antwerp,Kouter 17 2,51.28613,4.414459,199000,To renovate,1973,2,80,,1,1,562,0,498,1800,333,Antwerp,7.47,2487.5
apartment,RBV88850,2100,Deurne,antwerp,Leeuwlantstraat 105 2,51.22351,4.465847,179000,Normal,,2,66,,0,0,179,0,394,3100,707,Antwerp,4.44,2712.1212121212
house,RBV84666,2830,Willebroek,antwerp,Vooruitgangsstraat 95,51.0568,4.359516,149000,,,2,88,98,0,0,479,0,580,1400,849,Antwerp,18.33,1693.1818181818
apartment,RBV82232,2060,Antwerp,antwerp,Rotterdamstraat 80,51.222092,4.4203617,164000,Normal,,1,49,,0,1,383,0,199,624,281,Antwerp,1.28,3346.9387755102
apartment,RBV75259,2000,Antwerp,antwerp,Stijfselrui 16 4,51.2255912,4.4106644,197000,Fully renovated,1936,1,40,,0,0,277,0,539,1500,143,Antwerp,0.89,4925.0
apartment,RBV81036,2830,Willebroek,antwerp,Overwinningsstraat 50 302,51.05864,4.359385,159000,Normal,1996,1,45,,0,1,344,0,583,1100,397,Antwerp,18.13,3533.3333333333
apartment,RBV72397,2050,Antwerp,antwerp,August Vermeylenlaan 1,51.2331786,4.3788635,199000,,1968,2,84,,0,1,161,0,698,2900,760,Antwerp,2.25,2369.0476190476
apartment,RBV69582,2860,Sint-Katelijne-Waver,antwerp,Markt 20 2L,51.07024,4.531277,169000,Normal,1968,1,65,,0,1,482,0,170,2500,522,Antwerp,18.86,2600.0
apartment,RBV73482,2170,Merksem,antwerp,Lambrechtshoekenlaan 209 B1,51.2511062,4.4334792,197000,Normal,1971,2,88,,1,1,147,0,449,1400,209,Antwerp,4.13,2238.6363636364
apartment,RBV65667,2140,Borgerhout,antwerp,Turnhoutsebaan 457 4E,51.21986,4.453207,139000,Normal,1978,1,55,,0,1,135,0,278,2000,453,Antwerp,3.53,2527.2727272727
apartment,RBV78046,2610,Wilrijk,antwerp,Rooiboslaan 97,51.17714,4.381669,179900,Normal,1972,1,50,,0,1,613,0,463,2800,473,Antwerp,4.92,3598.0
apartment,RBV62045,2060,Antwerp,antwerp,Carnotstraat 65 C10,51.2184167,4.424929,95000,To renovate,1966,,40,,0,1,190,0,353,526,246,Antwerp,1.57,2375.0
apartment,RBV39562,2060,Antwerp,antwerp,Carnotstraat 65 A6,51.21842,4.424929,97000,Normal,1970,1,34,,0,0,135,0,353,526,246,Antwerp,1.57,2852.9411764706
apartment,RBV81061,2830,Willebroek,antwerp,Mechelsesteenweg 84A,51.0583259,4.3671457,190000,Normal,1968,2,93,,0,1,238,0,283,1400,638,Antwerp,18.08,2043.0107526882
apartment,RBV80136,2600,Berchem,antwerp,De Roest d'Alkemadelaan 13 3,51.1822551,4.4324592,189000,Fully renovated,1964,1,47,,0,1,118,0,727,1600,479,Antwerp,4.63,4021.2765957447
apartment,RWC42404,2170,Merksem,antwerp,Leiebos 31,51.2569089,4.4576363,155000,Fully renovated,1978,1,46,,0,1,,0,428,3200,570,Antwerp,5.67,3369.5652173913
apartment,RBV74540,2600,Berchem,antwerp,Velodroomstraat 15 401,51.2037885,4.435215,129000,To renovate,1968,1,27,,0,1,384,0,397,506,510,Antwerp,2.86,4777.7777777778
apartment,RBV48849,2500,Lier,antwerp,Mechelsesteenweg 44 2,51.12943,4.559064,199000,To renovate,1976,2,92,,1,1,253,0,653,1200,377,Antwerp,14.81,2163.0434782609
apartment,RBV69503,2060,Antwerp,antwerp,Carnotstraat 27 46,51.21893,4.422822,109500,Normal,,1,33,,0,0,142,0,308,374,172,Antwerp,1.42,3318.1818181818
apartment,RBV81038,2800,Mechelen,antwerp,Brusselsesteenweg 11 03,51.02011,4.472814,125000,To renovate,,,52,,0,0,388,0,298,1000,258,Brussels,21.12,2403.8461538462
apartment,RBV69486,2650,Edegem,antwerp,Ullensstraat 51,51.1716882,4.432143,169000,To renovate,1967,2,69,,0,0,522,0,742,2100,808,Antwerp,5.69,2449.2753623188
house,RBV65199,2490,Balen,antwerp,Deliestraat 78,51.1762,5.169894,159000,To renovate,1942,2,100,365,1,0,733,0,764,1100,1300,Leuven,46.52,1590.0
house,RBV62322,2850,Boom,antwerp,Hoek 54,51.0839092,4.3743379,174000,,,2,80,,1,0,1576,0,505,1600,551,Antwerp,15.19,2175.0
apartment,RBV78858,2018,Antwerp,antwerp,Belgiëlei 94 503,51.2064982,4.4181782,149000,Normal,1968,1,33,,0,,232,0,405,1400,63,Antwerp,1.8,4515.1515151515
house,RBV76244,2400,Mol,antwerp,Kiezelweg 17 T239,51.211041,5.1716104,42500,,,2,40,180,1,1,,0,3200,5200,3100,Leuven,49.41,1062.5
apartment,RBV78252,2020,Antwerp,antwerp,De Bosschaertstraat 60 C8,51.18845,4.379171,159000,To renovate,1930,2,70,,0,1,265,0,170,1500,332,Antwerp,3.81,2271.4285714286
house,RBV67255,2200,Herentals,antwerp,Kapucijnenstraat 12,51.1798,4.830019,199000,To renovate,1918,4,219,225,0,0,305,0,868,296,304,Antwerp,30.11,908.6757990868
apartment,RBV54535,2170,Merksem,antwerp,Dokter Maurice Timmermanslaan 47 101,51.249,4.450568,169000,To renovate,1953,2,70,,1,1,197,0,383,2700,509,Antwerp,4.69,2414.2857142857
