property_type,property_id,postcode,city,province,address,latitude,longitude,price,property_state,build_year,bedroom_count,livable_surface,total_surface,garage,terrace,energy_consumption_kWh/m2/year,swimming_pool,preschool_distance_m,train_station_distance_m,supermarket_distance_m,nearest_city,nearest_city_distance_km,price_per_m2
house,RBV09575,2400,Mol,antwerp,Kiezelweg 17 - 548,51.211041,5.1716104,189500,,2024,2,,,1,,,0,3200,5200,3100,Leuven,49.41,
house,RBV09577,2400,Mol,antwerp,Kiezelweg 17 - 551,51.211041,5.1716104,179000,,,2,,,0,1,,0,3200,5200,3100,Leuven,49.41,
house,RBV09573,2400,Mol,antwerp,Kiezelweg 17 - 547,51.211041,5.1716104,199000,,2024,2,,,0,1,,0,3200,5200,3100,Leuven,49.41,
apartment,RBU87491,2140,Borgerhout,antwerp,Turnhoutsebaan 457 18E,51.21986,4.453207,179000,Normal,1973,2,84,,1,1,231,0,278,2000,453,Antwerp,3.53,2130.9523809524
house,RBV09574,2400,Mol,antwerp,Kiezelweg 17 - 546,51.211041,5.1716104,189500,,2024,2,,,1,,,0,3200,5200,3100,Leuven,49.41,
apartment,RBU99749,2200,Herentals,antwerp,Stationsstraat 29,51.17996,4.827621,170000,Normal,2009,1,41,,0,1,79,0,1000,237,466,Antwerp,29.94,4146.3414634146
house,RBU85578,2490,Balen,antwerp,Reit 22,51.1646736,5.166249,199000,,,3,285,,1,1,1000,0,1200,560,1200,Leuven,45.44,698.2456140351
house,RBV09578,2400,Mol,antwerp,Kiezelweg 17 - 550,51.211041,5.1716104,189500,,2024,2,,,1,,,0,3200,5200,3100,Leuven,49.41,
apartment,RBU61490,2000,Antwerp,antwerp,Volkstraat 50 4V,51.2107107,4.3952005,199000,,1919,1,56,,0,0,343,0,35,1500,285,Antwerp,1.09,3553.5714285714
house,RBT95836,2400,Mol,antwerp,Kiezelweg 17,51.211041,5.1716104,79900,,2022,3,40,,1,1,,0,3200,5200,3100,Leuven,49.41,1997.5
apartment,RBU73062,2020,Antwerp,antwerp,Kruishofstraat 146,51.1821912,4.3914705,199000,,,3,95,,0,0,0,0,535,1900,309,Antwerp,4.21,2094.7368421053
house,RBV09580,2400,Mol,antwerp,Kiezelweg 17 - 554,51.211041,5.1716104,189500,,2024,2,,,1,,,0,3200,5200,3100,Leuven,49.41,
apartment,RBU48327,2830,Willebroek,antwerp,Louis De Naeyerplein 19 1,51.06106,4.361438,169000,To renovate,1978,1,70,,0,1,289,0,480,833,55,Antwerp,17.84,2414.2857142857
apartment,RBU99069,2520,Ranst,antwerp,Eksterlaan 11 22,51.18703,4.554795,199000,Normal,1995,1,41,,0,1,200,0,642,5800,1100,Antwerp,11.2,4853.6585365854
apartment,RBV06868,2100,Deurne,antwerp,Kerkeveldlaan 41 602,51.2309182,4.4660277,189000,Fully renovated,1970,2,70,,1,1,247,0,419,3300,454,Antwerp,4.61,2700.0
house,RBU87998,2830,Willebroek,antwerp,Appeldonkstraat 165,51.06998,4.354513,179000,To renovate,1930,3,105,188,0,0,281,0,899,702,1300,Antwerp,16.95,1704.7619047619
apartment,RBU25536,2610,Wilrijk,antwerp,Scheidingstraat 5 001,51.1822055,4.3763071,199000,Fully renovated,1954,1,55,,0,1,197,0,619,2400,536,Antwerp,4.52,3618.1818181818
house,RBT39086,2570,Duffel,antwerp,Leopoldstraat 86,51.0971213,4.5044896,175000,,1899,3,88,131,1,,1277,0,448,1200,114,Antwerp,15.34,1988.6363636364
house,RBV09579,2400,Mol,antwerp,Kiezelweg 17 - 552,51.211041,5.1716104,189500,,,2,,,0,,,0,3200,5200,3100,Leuven,49.41,
apartment,RBU83458,2610,Wilrijk,antwerp,Bist 46 A 102,51.1705429,4.3936666,189000,,,1,72,,0,0,104,0,519,3400,1,Antwerp,5.47,2625.0
apartment,RBU95885,2440,Geel,antwerp,Stationsstraat 49,51.1646922,4.9898859,149000,Normal,1968,2,85,,0,1,573,0,418,513,402,Leuven,37.59,1752.9411764706
apartment,RBU60918,2300,Turnhout,antwerp,Duifhuisstraat 24 8,51.31552,4.947775,165000,Normal,1969,2,95,,1,0,226,0,231,1500,560,Antwerp,39.41,1736.8421052632
apartment,RBU25535,2610,Wilrijk,antwerp,Scheidingstraat 5 201,51.1822055,4.3763071,199000,Fully renovated,1954,1,55,,0,1,161,0,619,2400,536,Antwerp,4.52,3618.1818181818
house,RBT59058,2400,Mol,antwerp,,51.191087,5.1170647,189500,,,4,,,0,,,0,287,350,125,Leuven,45.24,
house,RBT59232,2400,Mol,antwerp,,51.191087,5.1170647,159000,,,4,,,0,,,0,287,350,125,Leuven,45.24,
house,RBT25683,2400,Mol,antwerp,Kiezelweg 17 257,51.20982,5.172112,150000,Normal,2018,2,,,0,1,,0,3000,5000,2800,Leuven,49.33,
apartment,RBV08624,2140,Borgerhout,antwerp,Bleekhofstraat 117 8B,51.2118,4.432114,179900,Normal,1968,2,90,,1,1,282,0,65,1100,126,Antwerp,2.23,1998.8888888889
house,RBU24723,2440,Geel,antwerp,,51.164768,4.989791,179000,,2020,3,,420,0,1,,0,421,503,412,Leuven,37.6,
house,RBT59236,2400,Mol,antwerp,,51.191087,5.1170647,149500,,,0,,,1,,,0,287,350,125,Leuven,45.24,
apartment,RBU46144,2050,Antwerp,antwerp,Gloriantlaan 51,51.229162,4.3870018,175000,,1969,1,70,,0,1,192,0,305,3300,247,Antwerp,1.53,2500.0
apartment,RBW25488,2830,Willebroek,antwerp,Stationsstraat 16,51.06322,4.360669,210000,New,2024,1,65,,0,1,,0,272,550,264,Antwerp,17.61,3230.7692307692
house,RBT90244,2230,Herselt,antwerp,,51.05102,4.882259,199000,,1981,2,73,2826,1,1,1000,0,565,7200,184,Leuven,22.9,2726.0273972603
house,RBW26796,2800,Mechelen,antwerp,Bergstraat 13,51.03089,4.484026,249000,To renovate,,2,86,,0,1,385,0,127,621,373,Antwerp,21.72,2895.3488372093
apartment,RWC42042,2100,Deurne,antwerp,Bosuil 83 11H,51.2287397,4.4621404,169000,Normal,1970,2,80,,0,1,166,0,275,3100,808,Antwerp,4.28,2112.5
apartment,RBU55645,2660,Hoboken,antwerp,Weerstandlaan 61 153,51.18639,4.369574,165000,To renovate,,2,76,,0,1,201,0,347,2000,57,Antwerp,4.33,2171.0526315789
apartment,RBW30733,2100,Deurne,antwerp,Eugeen Fahylaan 40 102,51.2318295,4.4822407,248000,,,2,92,,0,1,126,0,427,4600,665,Antwerp,5.72,2695.652173913
apartment,RBW02288,2440,Geel,antwerp,Winkelomseheide 158,51.12839,5.01166,200000,New,2024,2,63,,1,1,,0,106,5100,4500,Leuven,35.19,3174.6031746032
apartment,RBK29872,2140,Borgerhout,antwerp,Turnhoutsebaan 158 301,51.2145679,4.4349291,159000,,1969,2,82,,0,1,521,0,230,1300,145,Antwerp,2.32,1939.0243902439
house,RBW26683,2845,Niel,antwerp,Schuttershofstraat 55,51.10821,4.323799,249000,To renovate,,2,141,125,1,1,756,0,82,1300,727,Antwerp,13.53,1765.9574468085
apartment,RBU60243,2150,Borsbeek,antwerp,Brouwershoek 24 8,51.19749,4.482278,193500,Normal,1979,2,72,,0,1,248,0,701,4200,527,Antwerp,6.07,2687.5
apartment,RBW02289,2440,Geel,antwerp,Winkelomseheide 158,51.12839,5.01166,200000,New,2024,2,64,,1,1,,0,106,5100,4500,Leuven,35.19,3125.0
apartment,RBW30866,2650,Edegem,antwerp,Drie Eikenstraat 280 3,51.15605,4.42745,289000,,,2,112,,0,1,125,0,224,3500,869,Antwerp,7.26,2580.3571428571
apartment,RBW24107,2300,Turnhout,antwerp,Dessauerplein 1,51.32402,4.953304,227000,New,2024,1,68,,1,1,,0,313,1300,285,Antwerp,40.04,3338.2352941176
house,RBW27865,2450,Meerhout,antwerp,Bevrijdingslaan 140,51.12417,5.06316,299000,To renovate,1954,3,174,2940,0,1,977,0,926,8400,57,Leuven,37.18,1718.3908045977
house,RBW30869,2580,Putte,antwerp,Scherpstuklei 1,51.03733,4.577728,249000,To renovate,1960,3,139,1058,0,1,875,0,906,8100,3300,Leuven,19.51,1791.3669064748
apartment,RBW27015,2340,Beerse,antwerp,Gasthuisstraat 26 2,51.32133,4.856328,269000,Normal,1996,2,116,,0,1,173,0,792,6000,272,Antwerp,33.54,2318.9655172414
house,RBW27977,2260,Westerlo,antwerp,August Cannaertsstraat 59,51.0934136,4.83049131,285000,To renovate,1930,3,143,345,0,1,296,0,1300,8700,761,Leuven,25.44,1993.006993007
apartment,RBW18119,2060,Antwerp,antwerp,Osystraat 35 1,51.22123,4.417826,275000,Normal,1974,1,66,,0,0,102,0,74,658,522,Antwerp,1.09,4166.6666666667
house,RBW27541,2360,Oud-Turnhout,antwerp,Kerkstraat 23,51.32008,4.981071,299000,To renovate,1931,3,162,490,0,1,904,0,343,3200,363,Antwerp,41.78,1845.6790123457
apartment,RBW30645,2160,Wommelgem,antwerp,Herentalsebaan 260,51.1985,4.493365,295000,New,2025,1,72,,0,1,,0,808,5000,475,Antwerp,6.74,4097.2222222222
apartment,RBW30870,2070,Burcht,antwerp,Pastoor Coplaan 245 01.02,51.20297,4.342079,295000,Normal,2015,2,86,,0,1,64,0,342,1500,25,Antwerp,4.59,3430.2325581395
